"dataset","system","mr_type","mr","sys_ref","TER","Bleu_1","Bleu_2","Bleu_3","Bleu_4","ROUGE_L","NIST","LEPOR","CIDEr","METEOR","sim.mr.sys","lev.dist","sys.read.flesch","sys.cpw","sys.ref.len","sys.wps","sys.sps","sys.spw","sys.n.poly","sys.pspw","n.misspel","parser.sc.mean","parser.sc.max","informativeness","naturalness","quality","domain","inf_bin","nat_bin","qual_bin","inf_bin2","nat_bin2","qual_bin2"
"BAGEL","Dusek","inform","inform(name='X',eattype=restaurant)","x is a restaurant.",0,1,0.999999999,0.999999999,0.999999999,1,9.9369,1,10,1,0.6,24,97.025,3.5,14,4,5,1.25,1,0.25,0,-29.9525093436,-29.9525093436,2,6,3,"REST","bad","good","avg","Bad","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',eattype=restaurant,addr='X')","x is a restaurant.",0.461538462,0.606530659,0.606530659,0.606530659,0.606530659,0.772151899,2.6972,0.321156857,0.564999238,0.382656161,0.5833333,33,97.025,3.5,14,4,5,1.25,1,0.25,0,-29.9525093436,-29.9525093436,4,5,5,"REST","avg","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',eattype=restaurant,addr='X',phone='X')","i suggest x restaurant.",0.916666667,0.086886972,2.24E-009,7.59E-012,5.25E-013,0.245967742,0.204,0.010479489,0.0000236,0.109589041,0.45138007,41,75.875,4.75,19,4,6,1.5,1,0.25,0,-52.1571106315,-52.1571106315,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',eattype=restaurant,area=riverside)","x is a restaurant in the riverside area.",0.428571429,0.75,0.654653671,0.522757958,0.411133617,0.809734513,3.2057,0.557642872,0.916705913,0.502984487,0.71428573,37,61.24,4,32,8,13,1.625,3,0.375,0,-54.9134621024,-54.9134621024,4,6,6,"REST","avg","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',eattype=restaurant,area='X')","x is a restaurant in the x area.",0,1,1,1,1,1,6.7021,1,10,1,0.64285713,36,92.965,3,24,8,10,1.25,2,0.25,0,-56.7885155082,-56.7885155082,5,5,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',eattype=restaurant,near='X')","x is a restaurant near x.",0,1,1,1,1,1,7.6284,0.613512438,6.401739886,1,0.75,29,116.145,3.167,19,6,6,1,1,0.167,0,-56.8095802665,-56.8095802665,5,5,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',eattype=restaurant,phone='X')","x is a restaurant.",0.666666667,0.22313016,0.22313016,0.22313016,0.22313016,0.530434783,0.9166,0.022520887,0.105157893,0.228991089,0.5714286,34,97.025,3.5,14,4,5,1.25,1,0.25,0,-29.9525093436,-29.9525093436,5,6,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',eattype=restaurant,postcode='X')","x is a restaurant.",0.625,0.367879441,0.367879441,0.367879441,0.367879441,0.628865979,1.9489,0.152491384,0.456640078,0.294748665,0.5833333,37,97.025,3.5,14,4,5,1.25,1,0.25,0,-29.9525093436,-29.9525093436,3,6,6,"REST","avg","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',food=Chinese,eattype=restaurant,area=riverside)","x is a chinese restaurant in the riverside area.",0.545454545,0.695986135,0.558030356,0.430193873,0.0000587,0.464231355,2.6548,0.493310632,1.054948371,0.305601908,0.74132687,44,56.7,4.333,39,9,15,1.667,3,0.333,0,-68.4773926139,-68.4773926139,5,2,6,"REST","good","bad","good","Good+Avg","Bad","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,area=citycentre,eattype=restaurant)","x is a restaurant in the city centre.",0,1,1,1,1,1,8.1,0.600636695,6.214885822,1,0.50302595,53,82.39,3.625,29,8,11,1.375,1,0.125,0,-50.1977867484,-50.1977867484,4,4,4,"REST","avg","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,area=citycentre,near='X',eattype=restaurant)","x is a restaurant in the city centre near x.",0.4,0.9,0.774596669,0.66943295,0.541082269,0.8,4.6219,0.723869934,4.134839899,0.524819832,0.62615585,58,95.165,3.4,34,10,12,1.2,1,0.1,0,-79.0949539542,-79.0949539542,6,6,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,area=citycentre,near='X',near='X',eattype=restaurant)","x is a restaurant in the city centre near x and x.",0.08,0.916666667,0.912870929,0.908560296,0.903602003,0.916666667,5.9437,0.861128641,6.504995053,0.631339054,0.48579568,66,103.005,3.167,38,12,13,1.083,1,0.083,0,-94.8756241202,-94.8756241202,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,area=riverside,eattype=restaurant)","x is a restaurant in the riverside area.",0,1,1,1,1,1,6.8903,0.557642872,5.100003526,1,0.71428573,48,61.24,4,32,8,13,1.625,3,0.375,0,-54.9134621024,-54.9134621024,4,5,4,"REST","avg","good","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,area=riverside,near='X',eattype=restaurant)","x is a restaurant in the riverside area near x.",0.111111111,1,1,1,1,1,5.8262,0.390515872,5.547950928,1,0.7777778,54,78.245,3.7,37,10,14,1.4,3,0.3,0,-83.8106293082,-83.8106293082,6,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,area=riverside,near='X',near='X',eattype=restaurant)","x is a restaurant on the riverside near x.",0.476190476,0.795412726,0.666973847,0.554619703,0.399387918,0.687600644,3.5824,0.455244838,1.796097393,0.473282771,0.75475264,65,94.3,3.667,33,9,11,1.222,2,0.222,0,-76.5203918815,-76.5203918815,5,6,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,area='X',area='X',eattype=restaurant)","x is a restaurant near x and x in the x area.",0.3,0.833333333,0.778498944,0.623531908,0.405119721,0.739393939,3.911,0.627417235,3.201611248,0.478916819,0.65,58,110.055,2.75,33,12,12,1,2,0.167,0,-91.4606003165,-91.4606003165,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,area='X',eattype=restaurant)","x is a restaurant in the x area.",0.5,0.75,0.654653671,0.598408481,0.541082269,0.733173077,3.7801,0.367025438,0.462701437,0.462472919,0.625,50,92.965,3,24,8,10,1.25,2,0.25,0,-56.7885155082,-56.7885155082,3,5,6,"REST","avg","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,area='X',eattype=restaurant,pricerange=moderate)","x is a restaurant in the moderate price range located in the area in the x area.",0.363636364,0.764705882,0.725076061,0.680726715,0.630190856,0.888017917,5.4234,0.140192519,1.774680887,0.562368455,0.6685291,71,65.1682352941,3.706,63,17,25,1.471,5,0.294,0,-107.8825134635,-107.8825134635,6,4,5,"REST","good","avg","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,area='X',near='X',eattype=restaurant)","x is a restaurant in x near x and.",0.111111111,0.888888889,0.881917104,0.873580465,0.863340021,0.951267057,3.9637,0.694448713,4.228331772,0.599154671,0.56083626,57,122.5,2.778,25,9,8,0.889,1,0.111,0,-81.5301193595,-81.5301193595,4,2,2,"REST","avg","bad","bad","Good+Avg","Bad","Bad"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,area='X',near='X',near='X',eattype=restaurant)","x is a restaurant in x near x and x.",0.173913043,0.904837418,0.853088899,0.743840322,0.632059887,0.894428152,4.8212,0.571143074,2.816431011,0.468104626,0.55475265,66,129.005,2.6,26,10,8,0.8,1,0.1,0,-88.0090546012,-88.0090546012,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,area='X',pricerange=expensive,eattype=restaurant)","x is an expensive restaurant in the x area.",0,1,1,1,1,1,8.1603,0.562023189,8.707788591,1,0.65,65,75.5,3.778,34,9,13,1.444,3,0.333,0,-67.3119949698,-67.3119949698,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,area='X',pricerange=moderate,eattype=restaurant)","x is a restaurant in the x area.",0.380952381,0.875,0.707106781,0.436790232,0.0000639,0.75,1.3876,0.641508995,0.138288876,0.323843839,0.6,67,92.965,3,24,8,10,1.25,2,0.25,0,-56.7885155082,-56.7885155082,3,6,5,"REST","avg","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant)","x is a restaurant.",0,1,0.999999999,0.999999999,0.999999999,1,9.9369,1,10,1,0.5833333,40,97.025,3.5,14,4,5,1.25,1,0.25,0,-29.9525093436,-29.9525093436,3,6,6,"REST","avg","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre)","x is a restaurant in the city centre.",0,1,1,1,1,1,4.439,1,5.742869383,1,0.50302595,49,82.39,3.625,29,8,11,1.375,1,0.125,0,-50.1977867484,-50.1977867484,4,6,6,"REST","avg","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,food='Cafe food',food=English)","x is a restaurant in the city centre.",0.32,0.687289279,0.687289279,0.646763973,0.577939091,0.747810858,3.1103,0.479131889,2.303153612,0.350458032,0.5368186,79,82.39,3.625,29,8,11,1.375,1,0.125,0,-50.1977867484,-50.1977867484,4,5,5,"REST","avg","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,food=Chinese)","x is a chinese restaurant in the city centre area.",0,1,1,1,1,1,8.5619,0.693034884,6.486643362,1,0.60564095,58,61.325,4,40,10,16,1.6,2,0.2,0,-72.5119766593,-72.5119766593,5,4,5,"REST","good","avg","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,food='Chinese takeaway',food=Japanese)","x is a japanese restaurant in the city centre.",0.411764706,0.513417119,0.480257739,0.438965462,0.412493904,0.637908497,4.1318,0.135532977,1.827125701,0.337285829,0.5545662,82,66.1,4.111,37,9,14,1.556,2,0.222,0,-63.7617210746,-63.7617210746,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,food=Italian,food='Takeaway pizza')","x is an italian restaurant in the city centre.",0.428571429,0.573753421,0.573753421,0.573753421,0.573753421,0.75308642,4.064,0.283172599,2.63367566,0.351466105,0.56593496,81,66.1,4.111,37,9,14,1.556,2,0.222,0,-64.7897629142,-64.7897629142,6,5,4,"REST","good","good","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X')","x is a restaurant in the city centre near x.",0.454545455,0.814353676,0.639816674,0.51789014,0.366055014,0.715542522,4.0198,0.635240319,1.311725021,0.41705673,0.62615585,54,95.165,3.4,34,10,12,1.2,1,0.1,0,-79.0949539542,-79.0949539542,4,3,4,"REST","avg","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X',food='Cafe food',food=English)","x is an english restaurant that serves cafe food in the city centre near x.",0.25,0.866666667,0.703731551,0.575369583,0.467137978,0.763367463,4.5426,0.742204187,2.980772113,0.500187955,0.7455643,82,84.45,4,60,15,19,1.267,1,0.067,0,-132.3926147819,-132.3926147819,6,5,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X',food=Chinese)","x is a chinese restaurant in the city centre and area near x.",0.166666667,0.923076923,0.832050294,0.760912708,0.717032665,0.930651872,6.2773,0.69151313,4.347448444,0.567605148,0.6893996,67,76.5015384615,3.692,48,13,18,1.385,2,0.154,0,-105.3066009879,-105.3066009879,6,3,5,"REST","good","avg","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X',food='Chinese takeaway',food=Japanese)","x is a japanese restaurant in the centre of town near x and x.",0.424242424,0.785714286,0.650443635,0.520514334,0.336493244,0.714285714,3.184,0.653877322,1.807651589,0.352063957,0.55192775,86,95.9392857143,3.429,48,14,16,1.143,2,0.143,0,-113.3197235465,-113.3197235465,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X',food=Italian)","x is an italian restaurant near x and in the city centre.",0.272727273,0.916666667,0.816496581,0.693361274,0.577350269,0.788793103,5.8558,0.694537295,5.042815326,0.534098112,0.5633848,70,81.855,3.75,45,12,16,1.333,2,0.167,0,-90.9328293204,-90.9328293204,6,4,4,"REST","good","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X',food=Italian,food='Takeaway pizza')","x is an italian restaurant in the city centre near x.",0.578947368,0.481103038,0.356795562,0.246463372,0.177398314,0.528710726,2.1199,0.184994064,0.454810258,0.294899506,0.6413984,85,80.3063636364,3.818,42,11,15,1.364,2,0.182,0,-93.6869263053,-93.6869263053,4,4,4,"REST","avg","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X',near='X')","x is a restaurant in the city centre near x and x.",0.076923077,1,0.904534034,0.830454714,0.751049981,0.916666667,5.9756,0.556121198,2.424662433,0.977777778,0.48579568,62,103.005,3.167,38,12,13,1.083,1,0.083,0,-94.8756241202,-94.8756241202,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X',near='X',food='Chinese takeaway')","x is a chinese restaurant in the city centre near x and x.",0.193548387,0.857403919,0.820901754,0.779003159,0.729836014,0.846242775,3.8922,0.66853175,3.191711276,0.497328924,0.5429206,81,96.0246153846,3.462,45,13,15,1.154,1,0.077,0,-108.439550817,-108.439550817,5,4,4,"REST","good","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,near='X',near='X',food=Italian)","x is an italian restaurant in the city centre near x and x.",0,1,1,1,1,1,8.1305,0.629103918,7.500666603,1,0.5535147,71,89.5169230769,3.538,46,13,16,1.231,2,0.154,0,-109.4675964713,-109.4675964713,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=citycentre,pricerange=cheap,near='X',near='X')","x is a restaurant in the centre of town near x.",0.413793103,0.757957198,0.502771927,0.360458799,0.000047,0.738896366,3.3024,0.295290381,0.466552046,0.331197743,0.62573224,80,103.3790909091,3.273,36,11,12,1.091,1,0.091,0,-83.9751190543,-83.9751190543,5,5,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=riverside)","x is a restaurant in the riverside area.",0,1,1,1,1,1,3.2057,1,5.058726561,1,0.6875,53,61.24,4,32,8,13,1.625,3,0.375,0,-54.9134621024,-54.9134621024,5,4,4,"REST","good","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,area=citycentre,near='X',food=Chinese)","x is a chinese restaurant in the city centre near x.",0.176470588,0.761300387,0.722232962,0.67596166,0.648031141,0.861360719,6.1805,0.256726867,2.74854425,0.472560155,0.66097,75,87.9972727273,3.727,41,11,14,1.273,1,0.091,0,-92.658880651,-92.658880651,5,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,area=citycentre,near='X',near='X')","x is a restaurant by the riverside in the centre of the city near x.",0.4375,0.8,0.632455532,0.497422635,0.378448114,0.666666667,4.4241,0.486909584,1.591755323,0.414869428,0.70409775,75,84.45,3.533,53,15,19,1.267,2,0.133,0,-103.1353744864,-103.1353744864,4,4,4,"REST","avg","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,area='X',near='X')","x is a restaurant in the riverside near x.",0.285714286,1,0.866025404,0.753947441,0.680374933,0.835616438,4.0756,0.535355802,1.108728856,0.407243274,0.7359139,62,94.3,3.667,33,9,11,1.222,2,0.222,0,-75.2868942618,-75.2868942618,2,5,5,"REST","bad","good","good","Bad","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,area='X',near='X',near='X')","x is a restaurant in the riverside near x and x.",0.181818182,0.761300387,0.680927766,0.617384364,0.547076719,0.861360719,4.6348,0.239848927,1.905130293,0.397761338,0.5912544,70,103.3790909091,3.364,37,11,12,1.091,2,0.182,0,-91.0675644279,-91.0675644279,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,food=Chinese)","x is a restaurant near the river in the riverside area.",0.421052632,0.727272727,0.603022689,0.494897603,0.35084397,0.814691152,4.3654,0.652803463,1.399370891,0.413775062,0.56950396,59,64.9245454545,4,44,11,17,1.545,3,0.273,0,-75.4660095572,-75.4660095572,3,4,3,"REST","avg","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,food='Chinese takeaway',food=Takeaway)","x is a chinese restaurant in the riverside area that serves food including chinese takeaway.",0.434782609,0.8,0.676123404,0.520063282,0.39129503,0.795966785,4.5386,0.262261385,0.909061198,0.482023831,0.784348,79,44.97,5.133,77,15,26,1.733,5,0.333,1,-129.9020141959,-129.9020141959,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,food=Fastfood)","x is a restaurant in the riverside area near the river.",0.380952381,0.664073248,0.651502902,0.636922676,0.619676046,0.814691152,4.4481,0.563310618,1.18211853,0.445130637,0.56572825,66,64.9245454545,4,44,11,17,1.545,3,0.273,0,-76.000715673,-76.000715673,5,3,2,"REST","good","avg","bad","Good+Avg","Good+Avg","Bad"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,food=French)","x is a french restaurant in the riverside area which serves french food.",0.588235294,0.692307692,0.67936622,0.664718477,0.647912152,0.845916795,5.7462,0.272935135,3.326287024,0.568483328,0.7249104,65,76.5015384615,4.538,59,13,18,1.385,3,0.231,0,-104.5296539664,-104.5296539664,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,food=Indian)","x is an indian restaurant in the riverside area serves both indian food indian takeaway.",0.823529412,0.6,0.585540044,0.569406774,0.551200336,0.785407725,4.8338,0.216705787,2.095415652,0.537046462,0.6778526,71,33.69,4.867,73,15,28,1.867,7,0.467,1,-144.3385376334,-144.3385376334,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,food=Indian,food='Indian takeaway')","x is an indian restaurant in the riverside area.",0.307692308,0.641180388,0.599769334,0.548201521,0.479394156,0.792207792,5.2151,0.325073277,2.920710426,0.384056599,0.71876025,78,47.3,4.333,39,9,16,1.778,4,0.444,0,-70.9429001212,-70.9429001212,5,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,food=Italian)","x is an italian restaurant in the riverside area which serves italian food.",0.555555556,0.692307692,0.67936622,0.664718477,0.647912152,0.845916795,5.2527,0.408856674,4.017838125,0.568483328,0.7249104,65,50.4707692308,4.769,62,13,22,1.692,5,0.385,0,-107.9841369987,-107.9841369987,6,5,3,"REST","good","good","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,food=Italian,food='Takeaway pizza')","x is an italian restaurant in the riverside area that serves italian food.",0.4,0.692307692,0.67936622,0.664718477,0.647912152,0.725231176,3.4248,0.586932713,1.817648029,0.379606131,0.7169181,76,50.4707692308,4.692,61,13,22,1.692,5,0.385,0,-108.1165909171,-108.1165909171,4,4,4,"REST","avg","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,near='X')","x is a restaurant near x on the riverside.",0.571428571,0.795412726,0.730633242,0.64868714,0.534173596,0.687600644,4.1256,0.435748105,1.127012661,0.407309827,0.61639184,56,94.3,3.667,33,9,11,1.222,2,0.222,0,-68.4687866569,-68.4687866569,6,6,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,near='X',food=Chinese)","x is a chinese restaurant in the riverside area near x.",0.2,0.909090909,0.797724035,0.751400302,0.717585291,0.864566929,4.7607,0.752217933,4.995481791,0.550128692,0.78835833,65,72.6154545455,4,44,11,16,1.455,3,0.273,0,-97.3745636344,-97.3745636344,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,area=riverside,near='X',food=French)","x is a french restaurant in the riverside near x.",0.071428571,0.904837418,0.853088899,0.790448292,0.751650115,0.944272446,7.3867,0.276034392,4.351394126,0.516121044,0.74722433,63,95.165,3.9,39,10,12,1.2,2,0.2,0,-87.2469925284,-87.2469925284,6,6,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
